area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
East Staffordshire,East Staffordshire (District),E07000193,28.5,27,29.1,33.3,37.1,29.5
East Suffolk,East Suffolk (District),E07000244,40.5,35.9,30.1,32.1,35.6,36.7
East Sussex,East Sussex (County),E10000011,59.3,64.4,66.6,68.7,67,66.9
Eastbourne,Eastbourne (District),E07000061,41.4,47.8,42.4,44,39.2,41
Eastleigh,Eastleigh (District),E07000086,42.1,41,43.2,40.8,46.1,43.9
Eden,Eden (District),E07000030,89.8,89.3,91.2,87.5,93.1,100.4
Elmbridge,Elmbridge (District),E07000207,40.6,42.9,45.5,46.8,49.2,56.2
Enfield,Enfield (London borough),E09000010,26.9,21.9,19.9,19.8,27.2,32.8
Epping Forest,Epping Forest (District),E07000072,66.9,70.3,67.7,75.8,78.8,88.8
Epsom and Ewell,Epsom and Ewell (District),E07000208,39.6,41.2,36.3,34.8,28.7,35.7
Erewash,Erewash (District),E07000036,32.8,34.7,35.3,36,31.3,27.5
Essex,Essex (County),E10000012,42.7,42.2,42.5,48.2,51.3,54.3
Exeter,Exeter (District),E07000041,26.6,31.1,30.3,27.8,28.8,31.8
Fareham,Fareham (District),E07000087,47.8,46.5,46.5,50.1,52.4,51.1
Fenland,Fenland (District),E07000010,45.8,48.6,44.7,47.2,43.2,55.2
Folkestone and Hythe,Folkestone and Hythe (District),E07000112,31.6,42,41.8,55.5,57.3,60.1
Forest of Dean,Forest of Dean (District),E07000080,42.3,40.6,43.8,42.2,45.7,43
Fylde,Fylde (District),E07000119,52.1,55.7,63.5,63.7,62.7,63
Gateshead,Gateshead (Metropolitan borough),E08000037,34.3,32.7,30.2,31.1,30.3,30.6
Gedling,Gedling (District),E07000173,44.7,39.1,33.1,34.2,32,31.3
Gloucester,Gloucester (District),E07000081,24.9,25.2,26.5,30.9,35.8,35.9
Gloucestershire,Gloucestershire (County),E10000013,39.4,38.1,37.6,40.8,45.3,46.9
