Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,processing,productivity,road_casualties,ofsted,infant_mortality,childhood_tooth_decay,gp_access,dental_access,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change,Year_no_outliers,suicide_rates_no_outliers,crimes_no_outliers,population_no_outliers,population_density_no_outliers,unemployment_no_outliers,mean_income_support_no_outliers,n_is_claimants_no_outliers,house_sales_no_outliers,bankruptcy_no_outliers,processing_no_outliers,productivity_no_outliers,road_casualties_no_outliers,ofsted_no_outliers,infant_mortality_no_outliers,childhood_tooth_decay_no_outliers,gp_access_no_outliers,dental_access_no_outliers,Core City_no_outliers,Other City_no_outliers,Large Town_no_outliers,Medium Town_no_outliers,Small Town_no_outliers,Village or smaller_no_outliers,gardens_perc_no_outliers,income_support_rate_no_outliers,house_sales_pp_no_outliers,bankruptcy_pp_no_outliers,no_rainy_days_no_outliers,inflation_no_outliers,previous_period_happiness_change_no_outliers
0.75,0.572463768115942,0.6864468501694472,0.3476328302666942,0.337868494175284,0.7722611264203822,0.5122511485451761,0.9783844124213518,0.41961620469083155,0.775609756097561,0.5361445783132531,0.3961352657004832,0.4476344520824907,,0.38320069162262393,0.3798336798336798,,,0.0,0.0,0.07339713215989063,0.3465946573033142,0.23598767232815848,0.4076651804440026,0.921612541993281,0.44974446251908073,0.7890896173754187,0.5384615384615385,0.1999999999999998,0.35942235908331255,0.6079295154185022,0.8333333333333334,0.4264705882352941,0.5784328740833748,0.3387180437198962,0.24885789838889605,0.7569670747677073,0.6265984654731466,0.9773364485981308,0.516281658780963,0.788888888888889,0.6621621621621622,0.4421632448673006,0.44120413922859836,,0.3641576482640398,0.43899827003871816,,,,,0.07295376985056419,0.3509323331334886,0.2734687076729484,0.4777619187054504,0.8225352112676056,0.24723041650661973,0.6174403421321351,0.4144037780401416,0.0,0.4747224282497903,0.5959595959595961
0.75,0.5217391304347826,0.6929568080250863,0.25987182137688647,0.3388507117350133,0.46504981050620847,0.4253445635528326,0.924802110817942,0.4328358208955224,0.702439024390244,0.5301204819277109,0.4182769726247993,0.4528912252325109,0.6039340776182881,0.7957342749715499,0.406029106029106,,,0.024108422269298223,0.0,0.3346666131896259,0.53308837089791,0.17086757769376965,0.014194508150994855,0.9507278835386339,0.44678599715860023,0.7917480520026043,0.5356019445238777,0.1999999999999998,0.35942235908331255,0.5726872246696035,0.8333333333333334,0.32352941176470584,0.5946580931780403,0.21289366432011858,0.25011514160459886,0.41633823980491436,0.5104859335038365,0.9156542056074767,0.5335374338992486,0.7055555555555556,0.6486486486486487,0.4697045568352531,0.4473189087488241,0.6164685160722149,0.8466129405013562,0.47013757311145893,,,0.022804424334320283,,0.3346739416498856,0.5401489962717689,0.19774617406556427,0.016507694821434445,0.8957746478873243,0.2415221977603295,0.62265927737172,0.40983923140056966,0.0,0.4747224282497903,0.5555555555555557
0.625,0.5579710144927537,0.6763239159537646,0.5810419681620839,0.7593798691495661,0.6758517293950715,0.47970903522205166,0.9373858331641973,0.34776119402985073,0.8195121951219513,0.5000000000000001,0.16908212560386432,0.5082895268904163,0.2633028853124546,0.4600835383104919,0.4137907137907138,,0.5255102040816323,1.0,0.0,0.0,0.0,0.0,0.0,0.5946248600223965,0.44967859084946915,0.7880692064243107,0.5386587490276424,0.6742268041237117,0.9999999999999998,0.5066079295154183,0.6666666666666666,0.39705882352941174,0.5532027836323191,0.6733605038903298,0.7883944921696178,0.6500705547275032,0.5831202046035808,0.9301401869158878,0.42248817144447537,0.838888888888889,0.5810810810810811,0.15973960941412024,0.5117591721542804,0.24969376726311995,0.4540716280319823,0.47936403328115995,,0.6062499999999993,,,,,,,0.0,0.24710332024098525,0.6154371111265134,0.4147185698764727,0.7666666666666669,,0.47979797979797983
1.0,0.5217391304347826,0.6193807437109032,0.26369650609882156,0.33585296589223107,0.8048307937355476,0.6052833078101069,0.9858940531763751,0.3049040511727079,0.7853658536585366,0.4397590361445784,,,,,,,,0.0,0.0,0.026741444387304605,0.6779836871638476,0.053870102638581246,0.3214018882021328,0.9496080627099666,0.44962842844307693,0.7856730602743416,0.5388107919322449,0.6144329896907219,0.188636651321465,0.39647577092510994,,0.32352941176470584,0.4112793693685267,0.218377176732123,0.2462780124615627,0.7930795721204739,0.750895140664962,0.985981308411215,0.3665460617868077,0.8,0.44594594594594594,,,,,,,,,,0.026217600853210076,0.6871598939570677,0.061699915432409325,0.37663797043040936,0.8929577464788736,0.24700653425445582,0.6107330904019159,0.41496126409963985,0.6700000000000002,0.19406226932324305,0.3535353535353536
0.0,0.5289855072463768,0.6821422998449798,0.23945627455034113,0.3340445558274434,0.5796054914026858,0.4391271056661557,0.9441851024964482,0.3513859275053305,0.6536585365853659,,0.36714975845410647,,,0.5180961771993603,0.4896049896049896,,,0.0,0.0,0.0,0.5337631002762062,0.34211195542419154,0.21981293281769942,0.9473684210526316,0.4454711521658735,0.7873539575448412,0.5291262135922331,0.8185567010309281,0.0,,,0.338235294117647,0.5677043450103336,0.1836235642830678,0.24396323885296473,0.5433549416670225,0.5289002557544759,0.9379672897196262,0.4272195936543279,0.6500000000000001,,0.4061091637456181,,,0.5219170248149004,0.5694867781530604,,,,,,0.5408335772102992,0.39687147049779287,0.2575481930450685,0.8873239436619722,0.2389852666418494,0.614032962405321,0.39950252748134474,1.0,,
0.375,0.5434782608695653,0.6886140777611957,0.2734649576183585,0.33576006744574205,0.586616361447574,0.5264165390505355,0.9815303430079156,0.379317697228145,0.7463414634146341,0.4216867469879519,0.40499194847021,0.4520824909017386,,0.5749849025850157,0.3826749826749827,,,0.0,0.0,0.13281558658524195,0.0,0.6239415788211741,0.31133662192823036,0.942889137737962,0.44953896949804983,0.7888721685411056,0.5375988497483826,0.3587628865979377,0.0705469939115782,0.5374449339207048,0.33333333333333337,0.3676470588235294,0.5838344055961578,0.23238236383845867,0.24615910200181704,0.5511284329798652,0.6455242966751921,0.9809579439252336,0.4636793765655441,0.7555555555555556,0.40540540540540543,0.45317976965448203,0.44637817497648163,,0.5884480122029754,0.44237581349369803,,,,,0.13247472131784724,,0.7245867978333994,0.36483875155521567,0.876056338028169,0.24683392745842966,0.6170134550563358,0.4130267353716801,0.25666666666666604,0.0,0.5151515151515152
1.0,,,,,0.8938439980507966,,,,0.7219512195121951,,,,,,,,,0.0,0.00366833779833035,0.0,0.0,0.29108574021267714,0.7370135283851532,0.9328107502799552,,,,0.6144329896907219,0.188636651321465,0.5022026431718061,,,,,,0.8917753639469671,,,,0.7277777777777779,,,,,,,,,,0.003115719016318426,,,0.3375374919784943,0.8638474069370922,0.8507042253521127,,,,0.6700000000000002,0.19406226932324305,0.47474747474747486
1.0,0.5289855072463768,0.6548070076833034,0.24452139756047137,0.33715178369216925,0.5799876050921899,0.6091117917304747,0.958595494215547,0.35927505330490406,0.5951219512195123,0.4759036144578314,,,,,,,,0.0,0.0,0.5844386540024096,0.11640425582027332,0.24962363731121692,0.08950155501386904,0.9776035834266517,0.4473863048777485,0.788118976404121,0.5273001508295627,0.6144329896907219,0.188636651321465,0.5330396475770925,,0.338235294117647,0.4995747020579294,0.19088551315301963,0.24794050551234492,0.5437786205295405,0.756010230179029,0.9545560747663552,0.437517394934595,0.5833333333333334,0.5270270270270271,,,,,,,,,,0.584876840107624,0.11738097735017908,0.28932479360918545,0.10478795533311357,0.9633802816901407,0.2426804630629283,0.6155348176109422,0.39658772599949066,0.6700000000000002,0.19406226932324305,0.5101010101010104
0.75,0.6014492753623188,0.6860913850847633,0.34365309075873474,0.5105222356143395,0.6768011176927745,0.497702909647779,0.9665110614978689,0.42217484008528783,0.751219512195122,0.5180722891566266,0.5245571658615137,0.5010109179134652,0.5978582820688083,0.652954866360449,0.35550935550935553,0.37967914438502637,,1.0,0.0,0.0,0.0,0.0,0.0,0.8264277715565509,0.44955548598291317,0.7891617569039175,0.538144721835002,0.1999999999999998,0.35942235908331255,0.3876651982378855,0.8333333333333334,0.48529411764705876,0.5775469238195795,0.3330122267506484,0.4698555204938964,0.651123214616712,0.6071611253196934,0.9636682242990654,0.5196214862232118,0.7611111111111112,0.6216216216216217,0.6019028542814215,0.5032925682031985,0.609926401207775,0.6796333682014777,0.41008320289974465,0.36516853932584226,,,,,,,,0.5830985915492961,0.24686579523345215,0.6175819636426284,0.41389806838361576,0.0,0.4747224282497903,0.34343434343434365
1.0,0.4565217391304348,0.6721612318060525,0.2567707256563986,0.3346983270041926,0.6730195199622266,0.6439509954058191,0.9781814491577024,0.34946695095948827,0.6585365853658537,,,,,,,,,0.0,0.0,0.03333786645425757,0.0,0.6471197497611404,0.3901657179492161,0.9608062709966407,0.4491822459364457,0.7876023869489257,0.5335186901451963,0.6144329896907219,0.188636651321465,0.511013215859031,,0.19117647058823528,0.5428278374627346,0.2084475731752501,0.24480006911368257,0.6469302661069171,0.8025575447570339,0.9771028037383178,0.42471472307264124,0.6555555555555557,,,,,,,,,,,0.03282540177132527,,0.7515386909136108,0.4572478078458502,0.9211267605633806,0.2461456462472338,0.6145206693281344,0.4065138950133473,0.6700000000000002,0.19406226932324305,0.48484848484848525
