Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,productivity,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change
0.125,0.5652173913043479,0.6630672727392245,0.22772379574116186,0.33678326256581,0.3953829965860126,0.2599540581929548,0.8784250050740816,0.32025586353944563,0.6487804878048781,0.42914653784218987,0.0,0.9925212609866236,0.0,0.0,0.0,0.007478739013376259,0.9787234042553192,0.42674419920129425,0.7797068254695373,0.5168399168399169,0.0,0.35354277339529155,0.5770925110132158
0.625,0.6159420289855073,0.6944619283052945,0.37667976018193094,0.3338101600135196,0.6740371266999108,0.5340735068912713,0.9669169880251675,0.32238805970149254,0.6731707317073171,0.3812399355877622,0.0,0.0,0.23382997258857655,0.0,0.23148722243362238,0.5599461344787202,0.9238521836506159,0.44964865185409214,0.7876548053914553,0.5374081412555493,0.6742268041237117,0.9999999999999998,0.5198237885462554
0.875,0.5797101449275363,0.6786011629551507,0.25098201364482114,0.33394266095693004,0.6826972465155059,0.5313935681470137,0.9808199715851431,0.3577825159914712,0.7121951219512195,0.4388083735909825,0.0,0.0,0.054135287939395295,0.0,0.39642221993741633,0.5927059822565868,0.9675251959686451,0.44919595389630296,0.7880288269051114,0.535311932162326,0.7855670103092782,0.2570927969789797,0.5550660792951542
0.75,0.5507246376811594,0.6715950668431527,0.22436427537729997,0.33459934979193245,0.7348158084740655,0.5918836140888207,0.9916785061903796,0.36396588486140724,0.8195121951219513,0.4923510466988729,0.0,0.12746159777514013,0.0,0.9694098485472925,0.0,0.00910563752458349,0.9664053751399777,0.44919422352448724,0.7896186440677966,0.55,0.1999999999999998,0.35942235908331255,0.5726872246696035
0.25,0.4710144927536232,0.6758484675637101,0.3868616911308662,0.3433175438494223,0.5202513227931698,0.4965543644716693,0.8931398416886543,0.6136460554371002,0.5170731707317073,0.3768115942028985,0.9210060755199645,0.0,0.0,0.0,0.06947181273935238,0.017103909465020578,0.8812989921612542,0.44882950040627384,0.7912304752409438,0.535963423831071,1.0,0.1561784612973196,0.5814977973568279
0.375,0.5289855072463768,0.6818933830950179,0.26736613603473225,0.3367117162385245,0.5983372508696374,0.47473200612557404,0.9810229348487924,0.39637526652452026,0.8,0.5269726247987119,0.0,0.0,0.04034971567462657,0.26074481270182087,0.486135886711003,0.2943289104941911,0.9507278835386339,0.4494646330696364,0.7896756160091155,0.5392695539754364,0.3587628865979377,0.0705469939115782,0.48458149779735676
0.375,0.5362318840579711,0.6785009900639792,0.26064709530700847,0.33459636815420485,0.5018182222383606,0.5562787136294024,0.9812258981124417,0.3940298507462687,0.7609756097560976,0.46014492753623215,0.0,0.0,0.008177357804833727,0.5234873281599787,0.0,0.5255635963271372,0.9070548712206048,0.44939244041271886,0.7898057651861933,0.5379000561482314,0.3587628865979377,0.0705469939115782,0.5814977973568279
0.625,0.5797101449275363,0.6791216500543475,0.3747157328922886,0.3746064484688469,0.6040215457376865,0.49310872894333785,0.9735132940937691,0.12601279317697228,0.7609756097560976,0.40016103059581365,0.9993654214249269,0.0,0.0,0.0007124662689475819,0.0,0.0,0.815229563269877,0.44972534925053353,0.7850719877343868,0.5383091652487494,0.6742268041237117,0.9999999999999998,0.5242290748898677
0.625,0.427536231884058,0.6955282449970623,0.3886706636344842,0.33819668201628844,0.6366288425111225,0.5440275650842266,0.9810229348487924,0.182089552238806,0.8829268292682927,0.5201288244766507,0.0,0.02954789074235401,0.0,0.2999678855017957,0.31782499516740537,0.4201378805966939,0.9283314669652856,0.4498306182816539,0.7859983251216341,0.5394874903817009,0.6742268041237117,0.9999999999999998,0.6211453744493394
0.5,0.5217391304347826,0.6701455576523229,0.4933843291296258,0.6264675933798803,0.7089413792284224,0.4299387442572738,0.9675258778161153,0.3716417910447761,0.7414634146341463,0.7459742351046699,1.0,0.0,0.0,0.0,0.0,0.0,0.6024636058230683,0.4497930066796762,0.7882263069945095,0.53825929938606,0.24742268041237114,0.6790612497826604,0.5506607929515419
0.625,0.5362318840579711,0.7746347626870356,0.30375232582179035,0.3360847279593206,0.5732642507032745,0.6190658499234305,0.9905622082403085,0.2835820895522388,0.7804878048780488,0.3204508856682773,0.0,0.0,0.5795039278325181,0.0,0.0,0.4204960721674818,0.9115341545352744,0.44989717364005316,0.7863137640219439,0.5385544407283539,0.6742268041237117,0.9999999999999998,0.7136563876651983
0.25,0.5217391304347826,0.6907899446258849,0.2940872441596031,0.3778938100472055,0.5125802878659734,0.394333843797856,0.9525065963060686,0.444136460554371,0.6292682926829268,0.4174718196457329,0.0,1.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.44892505672555827,0.7904258633222185,0.5353196837199561,1.0,0.1561784612973196,0.6167400881057267
0.125,0.5579710144927537,0.6634160759282323,0.25165391771759354,0.3347195406435271,0.6612157651664956,0.22549770290964788,0.8246397402070226,0.34840085287846484,0.6634146341463415,0.39975845410628047,0.0,0.7529006637683887,0.0,0.0,0.1442834943781097,0.11856220323663774,0.9115341545352744,0.4402644063066834,0.7874555346306759,0.5330009496676165,0.0,0.35354277339529155,0.5418502202643171
0.125,0.5144927536231885,0.6602418478834942,0.33760595410378336,0.3959899228294329,0.6363521884448343,0.20482388973966292,0.9143495027400041,0.32004264392324094,0.5853658536585367,0.42753623188405815,1.0,0.0,0.0,0.0,0.0,0.0,0.9014557670772676,0.44869614610017533,0.7874571870714123,0.5358652597942949,0.0,0.35354277339529155,0.5506607929515419
0.75,0.4927536231884058,0.6710046306019851,0.3231341740748398,0.3410640238915287,0.5792480218402984,0.4226646248085756,0.9911710980312564,0.379317697228145,0.8439024390243903,0.4533011272141709,0.0,0.0,0.8504358986217742,0.0,0.08351163644686653,0.07516649708630099,0.9384098544232924,0.44992342426174126,0.788523646195829,0.5395220240124229,0.1999999999999998,0.35942235908331255,0.5286343612334803
0.125,0.6014492753623188,0.6629691366867708,0.3351767624560678,0.340523006928741,0.5863698282395018,0.24617151607963228,0.9306880454637712,0.34946695095948827,0.6341463414634146,0.3812399355877616,0.007627123157799426,0.0,0.5356828991589925,0.0,0.24095900368724188,0.24202800517706963,0.9272116461366182,0.44893741485933025,0.787959663412589,0.5364908942647459,0.0,0.35354277339529155,0.5374449339207048
0.25,0.5362318840579711,0.6698648136817791,0.31739714699193716,0.3615511715783409,0.41179387447551136,0.4065849923430319,0.927339151613558,0.5215351812366738,0.6195121951219512,0.4339774557165862,0.0,0.9049163698575695,0.0,0.10675412291968914,0.0,0.0,0.9328107502799552,0.4486860349518627,0.7914901129943502,0.535897435897436,1.0,0.1561784612973196,0.5506607929515419
0.5,0.5434782608695653,0.7219438031735441,0.3293880504444904,0.35082414228777237,0.5673543250483392,0.47741194486983163,0.9438806576009743,0.39850746268656717,0.7365853658536585,0.40821256038647347,0.001349237723655489,0.0,0.44598752169952394,0.17418272445228458,0.4229046478241153,0.020771385847613483,0.9406494960806271,0.44911077880185046,0.7888562472433999,0.5378896196740064,0.24742268041237114,0.6790612497826604,0.5286343612334803
