Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,processing,productivity,road_casualties,ofsted,infant_mortality,childhood_tooth_decay,gp_access,dental_access,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change
1.0,0.5217391304347826,0.6193807437109032,0.26369650609882156,0.33585296589223107,0.8048307937355476,0.6052833078101069,0.9858940531763751,0.3049040511727079,0.7853658536585366,0.4397590361445784,,,,,,,,0.0,0.0,0.026741444387304605,0.6779836871638476,0.053870102638581246,0.3214018882021328,0.9496080627099666,0.44962842844307693,0.7856730602743416,0.5388107919322449,0.6144329896907219,0.188636651321465,0.39647577092510994
0.0,0.5289855072463768,0.6821422998449798,0.23945627455034113,0.3340445558274434,0.5796054914026858,0.4391271056661557,0.9441851024964482,0.3513859275053305,0.6536585365853659,,0.36714975845410647,,,0.5180961771993603,0.4896049896049896,,,0.0,0.0,0.0,0.5337631002762062,0.34211195542419154,0.21981293281769942,0.9473684210526316,0.4454711521658735,0.7873539575448412,0.5291262135922331,0.8185567010309281,0.0,
0.375,0.5434782608695653,0.6886140777611957,0.2734649576183585,0.33576006744574205,0.586616361447574,0.5264165390505355,0.9815303430079156,0.379317697228145,0.7463414634146341,0.4216867469879519,0.40499194847021,0.4520824909017386,,0.5749849025850157,0.3826749826749827,,,0.0,0.0,0.13281558658524195,0.0,0.6239415788211741,0.31133662192823036,0.942889137737962,0.44953896949804983,0.7888721685411056,0.5375988497483826,0.3587628865979377,0.0705469939115782,0.5374449339207048
1.0,,,,,0.8938439980507966,,,,0.7219512195121951,,,,,,,,,0.0,0.00366833779833035,0.0,0.0,0.29108574021267714,0.7370135283851532,0.9328107502799552,,,,0.6144329896907219,0.188636651321465,0.5022026431718061
1.0,0.5289855072463768,0.6548070076833034,0.24452139756047137,0.33715178369216925,0.5799876050921899,0.6091117917304747,0.958595494215547,0.35927505330490406,0.5951219512195123,0.4759036144578314,,,,,,,,0.0,0.0,0.5844386540024096,0.11640425582027332,0.24962363731121692,0.08950155501386904,0.9776035834266517,0.4473863048777485,0.788118976404121,0.5273001508295627,0.6144329896907219,0.188636651321465,0.5330396475770925
0.75,0.6014492753623188,0.6860913850847633,0.34365309075873474,0.5105222356143395,0.6768011176927745,0.497702909647779,0.9665110614978689,0.42217484008528783,0.751219512195122,0.5180722891566266,0.5245571658615137,0.5010109179134652,0.5978582820688083,0.652954866360449,0.35550935550935553,0.37967914438502637,,1.0,0.0,0.0,0.0,0.0,0.0,0.8264277715565509,0.44955548598291317,0.7891617569039175,0.538144721835002,0.1999999999999998,0.35942235908331255,0.3876651982378855
1.0,0.4565217391304348,0.6721612318060525,0.2567707256563986,0.3346983270041926,0.6730195199622266,0.6439509954058191,0.9781814491577024,0.34946695095948827,0.6585365853658537,,,,,,,,,0.0,0.0,0.03333786645425757,0.0,0.6471197497611404,0.3901657179492161,0.9608062709966407,0.4491822459364457,0.7876023869489257,0.5335186901451963,0.6144329896907219,0.188636651321465,0.511013215859031
0.75,,,0.27067397146991934,0.3333831761426831,,,,,,,0.39251207729468596,,,,,,,,,,,,,,,,,0.1999999999999998,0.35942235908331255,0.6255506607929512
0.125,0.5869565217391305,,0.24679553442216248,0.3342269939407709,0.5436030349595182,0.31049004594180657,0.8277856707935864,0.36801705756929637,0.6585365853658537,,0.40579710144927583,,,,,,,0.0,0.0,0.0,0.28981773236047254,0.5199377192704479,0.27867112032428887,0.9764837625979843,0.4388268734709174,0.7887474759836015,0.5317967231324633,0.0,0.35354277339529155,0.5462555066079293
1.0,0.46376811594202905,0.6099988404113167,0.2173351250775274,0.33260465486876356,0.7034823902195821,0.6140888208269524,0.9639740207022529,0.2846481876332623,0.6878048780487805,0.4939759036144579,,,0.1604010025062655,,,,,0.0,0.04949230109167183,0.44002478905467896,0.1812589369335347,0.15108351326096178,0.21444439147637892,0.8723404255319149,0.5201444118878191,0.9740466101694916,0.7115384615384617,0.6144329896907219,0.188636651321465,0.5022026431718061
0.5,0.5869565217391305,0.671486429725589,0.32768244779822203,0.3370655195336501,0.6932965838282779,0.578483920367534,0.9939111020905217,0.4147121535181237,0.775609756097561,0.4939759036144579,0.31803542673107915,0.47674888799029497,,0.45360685499514347,0.48835758835758836,,,0.0,0.0,0.07339713215989063,0.3465946573033142,0.23598767232815848,0.4076651804440026,0.921612541993281,0.44997373718737227,0.7891714192015742,0.5384615384615385,0.24742268041237114,0.6790612497826604,0.4933920704845812
0.75,0.5434782608695653,0.6924115468603117,0.37316518503204466,0.3527938990396358,0.6728212271795987,0.4421898928024497,0.9853866450172519,0.46119402985074626,0.8341463414634147,0.5240963855421688,0.5938003220611916,0.4613829357056205,0.832535885167464,0.475240758848767,,,,0.0,0.2503799157390133,0.0,0.5713709186581984,0.10373655146519904,0.14829686554071586,0.9451287793952967,0.44986978357931784,0.7894835001497674,0.5390771282735272,0.1999999999999998,0.35942235908331255,0.5770925110132158
